,Country,Age Group,age,Job Title
0,Belgium,50-69,48 years old,Unemployed
1,Belgium,50-69,46 years old,Unemployed
2,Belgium,18-29,1993,Unemployed
3,Belgium,50-69,51 years old,Unemployed
4,Belgium,30-49,35 years old,Unemployed
5,Belgium,50-69,53 years old,Unemployed
6,Belgium,18-29,1992,Unemployed
7,Belgium,50-69,62 years old,Unemployed
8,Belgium,50-69,44 years old,Unemployed
9,Belgium,30-49,32 years old,Unemployed
10,Belgium,18-29,1997,Unemployed
11,Belgium,18-29,2002,Unemployed
12,Belgium,30-49,1986,Unemployed
13,Belgium,50-69,41 years old,Unemployed
14,Belgium,18-29,2000,Unemployed
15,Belgium,50-69,44 years old,Unemployed
16,Belgium,50-69,40 years old,Unemployed
17,Belgium,18-29,1997,Unemployed
18,Belgium,18-29,2001,Unemployed
19,Belgium,18-29,1993,Unemployed
20,Belgium,50-69,43 years old,Unemployed
21,Belgium,30-49,34 years old,Unemployed
22,Belgium,18-29,2000,Unemployed
23,Belgium,18-29,1992,Unemployed
24,Belgium,18-29,1993,Unemployed
25,Belgium,50-69,42 years old,Unemployed
26,Belgium,18-29,1994,Unemployed
27,Belgium,30-49,1989,Unemployed
28,Belgium,50-69,45 years old,Unemployed
29,Belgium,18-29,1999,Unemployed
30,Belgium,30-49,31 years old,Unemployed
31,Belgium,18-29,1991,Unemployed
32,Belgium,18-29,1994,Unemployed
33,Belgium,50-69,42 years old,Unemployed
34,Belgium,50-69,46 years old,Unemployed
35,Belgium,18-29,2002,Unemployed
36,Belgium,18-29,1995,Unemployed
37,Belgium,18-29,1997,Unemployed
38,Belgium,50-69,42 years old,Unemployed
39,Belgium,50-69,51 years old,Unemployed
40,Belgium,18-29,1995,Unemployed
41,Belgium,30-49,38 years old,Unemployed
42,Belgium,30-49,1990,Unemployed
43,Belgium,50-69,53 years old,Unemployed
44,Belgium,18-29,1996,Unemployed
45,Belgium,30-49,1990,Unemployed
46,Belgium,18-29,2000,Unemployed
47,Belgium,30-49,1989,Unemployed
48,Belgium,50-69,56 years old,Unemployed
49,Belgium,50-69,45 years old,Unemployed
50,Belgium,18-29,1997,Unemployed
51,Belgium,18-29,1993,Unemployed
52,Belgium,18-29,1996,Unemployed
53,Belgium,50-69,48 years old,Unemployed
54,Belgium,30-49,31 years old,Unemployed
55,Belgium,18-29,1999,Unemployed
56,Belgium,50-69,47 years old,Unemployed
57,Belgium,30-49,32 years old,Unemployed
58,Belgium,50-69,59 years old,Unemployed
59,Belgium,18-29,1993,Unemployed
60,Belgium,18-29,1997,Unemployed
61,Belgium,30-49,1986,Unemployed
62,Belgium,50-69,49 years old,Unemployed
63,Belgium,50-69,48 years old,Unemployed
64,Belgium,50-69,47 years old,Unemployed
65,Belgium,18-29,1997,Unemployed
