uuid,normalized_job_code,country_code,age_group,age
f6e7ee00-deac-0133-4de8-0a81e8b09a82,,AT,40_65,61 years old
54f0f1c0-dda1-0133-a559-0a81e8b09a82,861a9b9151e11362eb3c77ca914172d0,AT,40_65,57 years old
83127080-da3d-0133-c74f-0a81e8b09a82,,AT,26_39,32 years old
15626d40-db13-0133-ea5c-0a81e8b09a82,049a3f3a2b5f85cb2971ba77ad66e10c,AT,40_65,45 years old
24954a70-db98-0133-4a64-0a81e8b09a82,f4b2fb1aa40f661488e2782b6d57ad2f,AT,40_65,41 years old
28583060-dbe2-0133-ff9c-0a81e8b09a82,27af8700f5577cec835acee2cb90a2ff,AT,26_39,1990
b50dbb80-da53-0133-8956-0a81e8b09a82,,AT,26_39,1990
dd743bb0-d9a5-0133-53b2-0a81e8b09a82,c1b670eba9ccb65e7c99f7da116d5b9c,AT,40_65,47 years old
4fde2370-da48-0133-3a42-0a81e8b09a82,d71c4164c99a5f9bca773e755a72f40f,AT,26_39,34 years old
9949c4c0-da5f-0133-c832-0a81e8b09a82,,AT,juvenile,1994
226cf850-db28-0133-c51a-0a81e8b09a82,2ee80cf30e2483dfe0947adc0428f8c5,AT,40_65,49 years old
69f1f400-dc5f-0133-ad9b-0a81e8b09a82,,AT,40_65,58 years old
2351fbe0-de4c-0133-0d58-0a81e8b09a82,897ef18a9321616495831a4b4b0c1bb2,AT,14_25,1991
0f286c80-dd77-0133-7803-0a81e8b09a82,,AT,40_65,40 years old
fe54f360-db27-0133-c444-0a81e8b09a82,,AT,26_39,37 years old
960b1ce0-db01-0133-528c-0a81e8b09a82,a003702c0cea282e17967772dd83de5e,AT,40_65,48 years old
d7912480-da41-0133-5bc1-0a81e8b09a82,,AT,26_39,31 years old
d468c670-da40-0133-de39-0a81e8b09a82,,AT,26_39,1990
76767d10-dd6c-0133-f56d-0a81e8b09a82,,AT,14_25,1999
a96ed910-de55-0133-2582-0a81e8b09a82,04c82eae29e1c4a30eac0710b74ab276,AT,26_39,34 years old
68eace50-db46-0133-97f7-0a81e8b09a82,fcaf4aac737e53ad24b9f32f08b8740f,AT,26_39,1989
aa342b50-dcc4-0133-f797-0a81e8b09a82,d71c4164c99a5f9bca773e755a72f40f,AT,40_65,40 years old
638a8b80-da45-0133-e8e1-0a81e8b09a82,,AT,14_25,2001
b1eb3870-decd-0133-d783-0a81e8b09a82,3833bd699e7afe4665b595f282da0387,AT,14_25,1991
1c8ea6b0-de3d-0133-605b-0a81e8b09a82,19e384e977796c25780d8c28b12089c4,AT,26_39,1989
d31a5ea0-d969-0133-79f5-0a81e8b09a82,,AT,26_39,35 years old
2c1d6730-d970-0133-9161-0a81e8b09a82,474b962c13632a04e42a546be4f11dbb,AT,40_65,48 years old
307ce090-daf9-0133-f4f2-0a81e8b09a82,,AT,40_65,51 years old
388a2f20-db3b-0133-570e-0a81e8b09a82,,AT,26_39,1988
12cd5b70-dbd8-0133-0395-0a81e8b09a82,dac2e921c1f887d9efc4c06fa33c1397,AT,40_65,40 years old
684ad570-de3f-0133-705d-0a81e8b09a82,,AT,juvenile,1999
4c7898b0-dbdf-0133-993b-0a81e8b09a82,996da29c84f5eed00da40c230f4c4078,AT,26_39,35 years old
d911df50-d8f8-0133-b5b7-0a81e8b09a82,,AT,14_25,1991
11c61a10-de3d-0133-6041-0a81e8b09a82,fcaf4aac737e53ad24b9f32f08b8740f,AT,40_65,42 years old
ab8dbf10-da1c-0133-f11e-0a81e8b09a82,d71c4164c99a5f9bca773e755a72f40f,AT,26_39,37 years old
d13a4420-dee8-0133-05e2-0a81e8b09a82,cc2b26cc436bea36bda3bdd7367c411a,AT,14_25,1994
9699d060-da5b-0133-0ae5-0a81e8b09a82,25fe195cbf915c0824fa6c44e6d0008c,AT,40_65,45 years old
d30d1810-da47-0133-15c3-0a81e8b09a82,,AT,26_39,31 years old
9b532680-dc7d-0133-dcb5-0a81e8b09a82,76385cb24e831b3364279b9de5641d8f,AT,40_65,47 years old
0a8ed740-de42-0133-f3a6-0a81e8b09a82,,AT,26_39,33 years old
8d6c0630-dc17-0133-c863-0a81e8b09a82,,AT,40_65,64 years old
1c4a0200-da22-0133-e797-0a81e8b09a82,,AT,26_39,1990
896c8bd0-dcc3-0133-f1c3-0a81e8b09a82,16b67d7f57698455aefbc1ae1b358b50,AT,26_39,38 years old
db1bf110-d8d7-0133-8ee6-0a81e8b09a82,,AT,26_39,35 years old
5441c1d0-d9a6-0133-55bc-0a81e8b09a82,b24ece3300d2f8ab34f9553e531183d6,AT,40_65,55 years old
a332d3f0-d8c9-0133-a2e5-0a81e8b09a82,,AT,40_65,41 years old
581cec00-da3e-0133-cc6b-0a81e8b09a82,5db2c8d6539f983e1ca3d7c5b939e190,AT,26_39,1990
cf24ed60-da3f-0133-0034-0a81e8b09a82,861a9b9151e11362eb3c77ca914172d0,AT,40_65,48 years old
03d9e160-da33-0133-b694-0a81e8b09a82,36675c937946c8a4fc5de7d0b4c850de,AT,40_65,40 years old
c8ab8660-daf3-0133-b467-0a81e8b09a82,,AT,40_65,64 years old
5fb8d530-d8c5-0133-bfb5-0a81e8b09a82,,AT,juvenile,1992
3f32d3c0-dbd5-0133-e559-0a81e8b09a82,,AT,14_25,2001
c76aa3e0-dbf6-0133-0d62-0a81e8b09a82,847165cfda6b1dc82ae22b967da8af2f,AT,40_65,49 years old
2fe1bc10-d8e2-0133-b57f-0a81e8b09a82,2ca138b991c50dc6696238e5ad800142,AT,14_25,1993
4cd8dfe0-d9a7-0133-5a1b-0a81e8b09a82,,AT,26_39,36 years old
d4ac22b0-dd5d-0133-dd11-0a81e8b09a82,,AT,40_65,46 years old
8c014b80-da49-0133-fd69-0a81e8b09a82,,AT,26_39,1989
0e383540-dad5-0133-3be7-0a81e8b09a82,,AT,26_39,1990
e75d0b00-d9b1-0133-043b-0a81e8b09a82,16b67d7f57698455aefbc1ae1b358b50,AT,14_25,1998
9cd06680-da89-0133-519f-0a81e8b09a82,36675c937946c8a4fc5de7d0b4c850de,AT,26_39,1988
b3fc91b0-db3a-0133-505a-0a81e8b09a82,,AT,26_39,35 years old
2eea8620-dbeb-0133-3910-0a81e8b09a82,36675c937946c8a4fc5de7d0b4c850de,AT,40_65,44 years old
b8616bf0-dd85-0133-dabb-0a81e8b09a82,cc2b26cc436bea36bda3bdd7367c411a,AT,14_25,1991
50e1e660-de3a-0133-589e-0a81e8b09a82,,AT,14_25,2001
66867d70-de2e-0133-fd0b-0a81e8b09a82,,AT,juvenile,1996
9567fd10-da36-0133-f91e-0a81e8b09a82,,AT,40_65,47 years old
e55a9780-d98f-0133-f7be-0a81e8b09a82,,AT,juvenile,1991
5eaadd90-da5a-0133-3d70-0a81e8b09a82,fcaf4aac737e53ad24b9f32f08b8740f,AT,40_65,65 years old
ca3f65f0-d92b-0133-3959-0a81e8b09a82,049a3f3a2b5f85cb2971ba77ad66e10c,AT,40_65,46 years old
c8394f00-d9f4-0133-fe97-0a81e8b09a82,,AT,14_25,1999
dade6cd0-d9ff-0133-f2d6-0a81e8b09a82,775190277a849cba701b306a7b374c0a,AT,14_25,1995
437716a0-da35-0133-f2f5-0a81e8b09a82,022d0e3a40aa3e29bca6851542b27842,AT,40_65,52 years old
8cc018b0-de4b-0133-0bcd-0a81e8b09a82,375017ea3a1a97f5ea676def873bb25b,AT,26_39,1990
7c2e43a0-da1a-0133-acda-0a81e8b09a82,,AT,juvenile,2002
b9dbcc80-da2b-0133-481e-0a81e8b09a82,,AT,juvenile,1996
89977480-d9bc-0133-b906-0a81e8b09a82,1dd2fdc8a3981f2a1d8f0ca173952bb8,AT,26_39,1989
11cf6080-dc70-0133-8090-0a81e8b09a82,e605336f5a43949cb6b18054fd1937f1,AT,40_65,50 years old
6aa21d60-deec-0133-20b3-0a81e8b09a82,,AT,14_25,1996
08159f30-dbf8-0133-74d8-0a81e8b09a82,800b621aab5dac18f4caef621fa43a49,AT,26_39,34 years old
5f772780-dd7d-0133-5e86-0a81e8b09a82,,AT,juvenile,1997
996a7cf0-d98b-0133-a5d7-0a81e8b09a82,,AT,14_25,1998
88d64de0-d9eb-0133-a46b-0a81e8b09a82,,AT,26_39,38 years old
d2a9a650-d964-0133-4678-0a81e8b09a82,d06dfb43c95b585a89ae556c9221b573,AT,26_39,1988
7a3932b0-da34-0133-8caf-0a81e8b09a82,,AT,26_39,1990
54fcb0f0-da1c-0133-efb9-0a81e8b09a82,a12a16280e22220f9354333f6fe1b22a,AT,40_65,46 years old
c7ec06f0-d94c-0133-0451-0a81e8b09a82,477b53ef09d37f098d5ed74f47fcbaec,AT,40_65,41 years old
1ab814f0-dba0-0133-a033-0a81e8b09a82,e2f68bf748aea2c7d2254550c0c92b23,AT,40_65,43 years old
994969a0-dca5-0133-b593-0a81e8b09a82,,AT,26_39,1990
5f4a8e40-dbd4-0133-e162-0a81e8b09a82,45033f83b6e0309eca9bcd76917f15d0,AT,26_39,1987
fc590270-de6a-0133-72af-0a81e8b09a82,,AT,juvenile,1999
2152fc80-d9ae-0133-8d7e-0a81e8b09a82,,AT,14_25,1993
1d39d3e0-dbb6-0133-4ab6-0a81e8b09a82,141ddda0f613da65a280521247de0e9f,AT,26_39,36 years old
51f5c5c0-de40-0133-1e9a-0a81e8b09a82,3ddea1b52e520996e4ec9fb70dc8b86b,AT,26_39,34 years old
18a82df0-d8ec-0133-a131-0a81e8b09a82,6408c0d7c7faa4ced47fbc8474698126,AT,26_39,1989
eef7cc30-de4e-0133-1438-0a81e8b09a82,07b7555fa790debaf5b04d1409ad5f11,AT,14_25,2001
296e4480-d8e9-0133-c3ad-0a81e8b09a82,,AT,14_25,2002
5984b3b0-d8e0-0133-b014-0a81e8b09a82,36675c937946c8a4fc5de7d0b4c850de,AT,14_25,1995
81f6b2a0-de56-0133-2850-0a81e8b09a82,d71c4164c99a5f9bca773e755a72f40f,AT,14_25,1992
19aab9f0-da4f-0133-ee5a-0a81e8b09a82,a4d5b8b38f9513825d0d94a981ebe962,AT,juvenile,1993
7baa89f0-da4e-0133-4b77-0a81e8b09a82,,AT,14_25,2002
e1bf7cc0-dd32-0133-4401-0a81e8b09a82,,AT,26_39,1986
faf3d380-db0f-0133-0e2e-0a81e8b09a82,5e93fd1a58c8a67b295f69d87d1a940d,AT,40_65,47 years old
4cef99b0-db53-0133-e7f4-0a81e8b09a82,897ef18a9321616495831a4b4b0c1bb2,AT,40_65,46 years old
1325ab20-da32-0133-b1b6-0a81e8b09a82,,AT,26_39,1986
c5471020-dad1-0133-487e-0a81e8b09a82,122f24bc911a79c26ca66210557dda07,AT,26_39,39 years old
18a1c2e0-d8ed-0133-39aa-0a81e8b09a82,36675c937946c8a4fc5de7d0b4c850de,AT,juvenile,1992
ce058e90-daf1-0133-4389-0a81e8b09a82,,AT,40_65,52 years old
2a8036a0-d963-0133-41de-0a81e8b09a82,,AT,14_25,1995
80def8a0-da1e-0133-f7df-0a81e8b09a82,,AT,26_39,35 years old
baa9e380-da6a-0133-0cb9-0a81e8b09a82,19e384e977796c25780d8c28b12089c4,AT,14_25,1996
b189d930-dd84-0133-d6b4-0a81e8b09a82,76b0ba6af40991629e20dff36edd02a5,AT,26_39,1988
3174f780-d9f2-0133-2fe7-0a81e8b09a82,07b7555fa790debaf5b04d1409ad5f11,AT,26_39,1987
93241690-da78-0133-8088-0a81e8b09a82,76385cb24e831b3364279b9de5641d8f,AT,26_39,1989
28b98f30-dc00-0133-fa39-0a81e8b09a82,,AT,26_39,1989
b8d60b60-d9f1-0133-2f47-0a81e8b09a82,775190277a849cba701b306a7b374c0a,AT,40_65,47 years old
106af710-d93c-0133-bebf-0a81e8b09a82,970eb38c7b3eb080466052ea994af189,AT,14_25,1996
98a08950-de43-0133-5c1f-0a81e8b09a82,,AT,26_39,39 years old
0b5eea70-dcdd-0133-3f72-0a81e8b09a82,477b53ef09d37f098d5ed74f47fcbaec,AT,26_39,1987
6ad69c40-da2f-0133-a693-0a81e8b09a82,,AT,26_39,36 years old
ca9ed810-dcb8-0133-8981-0a81e8b09a82,cc2b26cc436bea36bda3bdd7367c411a,AT,14_25,2001
1aa394e0-de0f-0133-f6e2-0a81e8b09a82,2ca138b991c50dc6696238e5ad800142,AT,40_65,53 years old
5a5158c0-d9b3-0133-1b13-0a81e8b09a82,cf2d4db3c258faa2499bdeeeed6721a5,AT,26_39,33 years old
b98bbaf0-d96e-0133-06ef-0a81e8b09a82,a003702c0cea282e17967772dd83de5e,AT,juvenile,1994
59995f50-ddfe-0133-cae9-0a81e8b09a82,,AT,40_65,47 years old
2456bcf0-d8dc-0133-9b88-0a81e8b09a82,,AT,juvenile,2001
3b67ca50-d9c7-0133-9519-0a81e8b09a82,,AT,26_39,31 years old
aea66f50-da5c-0133-132d-0a81e8b09a82,dac2e921c1f887d9efc4c06fa33c1397,AT,26_39,31 years old
f8f95970-da28-0133-75d2-0a81e8b09a82,90c5430dbc810aec8695af2f1f4c42e8,AT,26_39,1987
f8fca690-de54-0133-23b6-0a81e8b09a82,7bb15eefb19ed09c59349baad7e8469e,AT,40_65,51 years old
a96ac600-da2f-0133-a7cd-0a81e8b09a82,ec3d88b2fd083b870b8c5a603898ed39,AT,26_39,1986
8dd40a20-de67-0133-95b6-0a81e8b09a82,,AT,26_39,34 years old
5586f290-d972-0133-f6e5-0a81e8b09a82,1f8576bdffa64f492405d02b842c41a6,AT,40_65,40 years old
cd77ebc0-de28-0133-657e-0a81e8b09a82,07b7555fa790debaf5b04d1409ad5f11,AT,40_65,62 years old
dcab3aa0-dc79-0133-412b-0a81e8b09a82,,BE,40_65,48 years old
2fb4da70-dcef-0133-cafd-0a81e8b09a82,,BE,40_65,46 years old
73771070-d8ec-0133-ae53-0a81e8b09a82,edc64316da9707432443c7a4461abe6c,BE,40_65,40 years old
3aa979b0-d93d-0133-c00b-0a81e8b09a82,847165cfda6b1dc82ae22b967da8af2f,BE,40_65,42 years old
11c6e300-deb8-0133-5b60-0a81e8b09a82,5e93fd1a58c8a67b295f69d87d1a940d,BE,40_65,52 years old
ed7e4bd0-d987-0133-3f9e-0a81e8b09a82,6cf4d336112984368f83181ac5ffe948,BE,14_25,2000
b5d05310-db4b-0133-8b2f-0a81e8b09a82,e2f68bf748aea2c7d2254550c0c92b23,BE,26_39,35 years old
121a3240-da4d-0133-f0f0-0a81e8b09a82,07b7555fa790debaf5b04d1409ad5f11,BE,14_25,1994
4d9509f0-da6a-0133-09b5-0a81e8b09a82,d4624ed8068d24948e18303212593cd6,BE,26_39,37 years old
8dfcc530-db0e-0133-8410-0a81e8b09a82,,BE,14_25,1993
048fbb80-dc5a-0133-a54f-0a81e8b09a82,,BE,40_65,51 years old
ca337e10-da5d-0133-641c-0a81e8b09a82,,BE,26_39,35 years old
2cc5e840-d934-0133-4268-0a81e8b09a82,,BE,40_65,53 years old
4eaae960-da52-0133-f491-0a81e8b09a82,,BE,14_25,1992
d9175790-dc02-0133-8239-0a81e8b09a82,,BE,40_65,62 years old
ba68f010-da39-0133-ede7-0a81e8b09a82,1a281bf4bd1fe9b2a6e464e508bea167,BE,40_65,46 years old
31d510e0-dc3d-0133-6587-0a81e8b09a82,5db2c8d6539f983e1ca3d7c5b939e190,BE,40_65,54 years old
279391e0-d8bb-0133-07fa-0a81e8b09a82,,BE,40_65,44 years old
e3950230-dd3f-0133-216f-0a81e8b09a82,,BE,26_39,32 years old
28c237e0-da4c-0133-533b-0a81e8b09a82,,BE,14_25,1997
902829b0-de49-0133-6b2f-0a81e8b09a82,800b621aab5dac18f4caef621fa43a49,BE,40_65,42 years old
c46dd5d0-daf5-0133-326e-0a81e8b09a82,2f704538f6c9d6459a97314be98124e2,BE,26_39,31 years old
674d27f0-db16-0133-e93d-0a81e8b09a82,,BE,14_25,2002
e2999ae0-dad7-0133-12f2-0a81e8b09a82,,BE,26_39,1986
482c72f0-d902-0133-c73e-0a81e8b09a82,,BE,40_65,41 years old
9a2478d0-da5f-0133-c83a-0a81e8b09a82,d4624ed8068d24948e18303212593cd6,BE,26_39,32 years old
8034c360-db44-0133-8ef7-0a81e8b09a82,,BE,14_25,2000
88424430-defa-0133-0f5f-0a81e8b09a82,edc64316da9707432443c7a4461abe6c,BE,40_65,40 years old
5e4592b0-de0c-0133-f22f-0a81e8b09a82,76b0ba6af40991629e20dff36edd02a5,BE,40_65,40 years old
d73155f0-d9ba-0133-fe9f-0a81e8b09a82,04c82eae29e1c4a30eac0710b74ab276,BE,26_39,1990
1926eaf0-dd85-0133-d85d-0a81e8b09a82,,BE,40_65,44 years old
52a3acf0-da6f-0133-e888-0a81e8b09a82,a4d5b8b38f9513825d0d94a981ebe962,BE,26_39,1988
411d4bc0-deef-0133-795b-0a81e8b09a82,,BE,40_65,40 years old
154739b0-dced-0133-c4db-0a81e8b09a82,3161063d378eecc4581c5cdee46a2a6c,BE,40_65,40 years old
10e5df00-dd3a-0133-0ead-0a81e8b09a82,781f5d3a80812531fdc81125a527a626,BE,26_39,36 years old
a5396df0-d98e-0133-f2a3-0a81e8b09a82,781f5d3a80812531fdc81125a527a626,BE,26_39,36 years old
a5355130-da8c-0133-c7ee-0a81e8b09a82,,BE,14_25,1997
39d48260-dd36-0133-0358-0a81e8b09a82,38a15ceadcdd6d4db16a88fa1a72b083,BE,40_65,45 years old
b63ed850-dcb8-0133-8926-0a81e8b09a82,5e93fd1a58c8a67b295f69d87d1a940d,BE,juvenile,1991
1afd0e10-d9ae-0133-8d6b-0a81e8b09a82,,BE,14_25,2001
f4824dd0-dafa-0133-a87a-0a81e8b09a82,,BE,juvenile,1993
4e1ac160-d982-0133-758d-0a81e8b09a82,e55556364d2096578fd153e9800e826f,BE,26_39,33 years old
96c62760-d8d4-0133-62ed-0a81e8b09a82,d24ffac92c24fb0e7bd1abc5fc3b6254,BE,40_65,44 years old
fd9e7290-dad7-0133-1337-0a81e8b09a82,edc64316da9707432443c7a4461abe6c,BE,26_39,1989
2b4a10d0-db2d-0133-d818-0a81e8b09a82,,BE,40_65,43 years old
c9337360-db95-0133-d531-0a81e8b09a82,b24ece3300d2f8ab34f9553e531183d6,BE,40_65,40 years old
c75ffdb0-d95d-0133-765b-0a81e8b09a82,04c82eae29e1c4a30eac0710b74ab276,BE,40_65,45 years old
9ffc7390-dba5-0133-259b-0a81e8b09a82,861a9b9151e11362eb3c77ca914172d0,BE,40_65,43 years old
ce2197d0-da69-0133-065d-0a81e8b09a82,049a3f3a2b5f85cb2971ba77ad66e10c,BE,40_65,40 years old
35610710-dc10-0133-0ad8-0a81e8b09a82,ccd7528fb38f16077360c5b67c9700c4,BE,40_65,47 years old
76c4d450-da3b-0133-dedb-0a81e8b09a82,3ddea1b52e520996e4ec9fb70dc8b86b,BE,40_65,48 years old
3c862650-da54-0133-8d15-0a81e8b09a82,f6fbd9dea1fa8f899683ade8e7d87d60,BE,juvenile,2001
89b205e0-d975-0133-3945-0a81e8b09a82,0de6170ccbed08e62b2e5862d5846a43,BE,26_39,39 years old
ccae52d0-dc67-0133-f45f-0a81e8b09a82,996da29c84f5eed00da40c230f4c4078,BE,40_65,54 years old
d5ce2260-dbb3-0133-bcd9-0a81e8b09a82,477b53ef09d37f098d5ed74f47fcbaec,BE,40_65,42 years old
