error,uuid,title,normalized_job_title,parent_uuid
"{'code': 404, 'message': 'Cannot find job with id nan'}",,,,
,861a9b9151e11362eb3c77ca914172d0,Automatic Data Processing Planner,automatic data processing planner,0148f61d4227497728ce33490843d056
,049a3f3a2b5f85cb2971ba77ad66e10c,Data Coordinator,data coordinator,0b9dd32a367f4562ec77b993053d1910
,f4b2fb1aa40f661488e2782b6d57ad2f,Database Developer,database developer,b90ca4df5690002377a7b0f1f3d40781
,27af8700f5577cec835acee2cb90a2ff,Data Entry Specialist,data entry specialist,bf88358c56bb6cbe7eabec38ae333d19
,c1b670eba9ccb65e7c99f7da116d5b9c,Database Architect,database architect,596226d5f9ef63de41a852826d483d19
,d71c4164c99a5f9bca773e755a72f40f,Geographic Information Systems Database Administrator (GIS Database Administrator),geographic information systems database administrator gis database administrator,bab6b228ad976cd2624acbcfccb8ad9b
,2ee80cf30e2483dfe0947adc0428f8c5,Crime Data Specialist,crime data specialist,325e2251e20170928426473156bd3c48
,897ef18a9321616495831a4b4b0c1bb2,Data Communications Software Consultant,data communications software consultant,9f07202082ce5945f125f3472a753789
,a003702c0cea282e17967772dd83de5e,Data Security Analyst,data security analyst,7ef30a5b2e0ec04db4ad4d5b1d354c32
,04c82eae29e1c4a30eac0710b74ab276,Database Marketing Analyst,database marketing analyst,05d507b5052f3f105eb5602c10723103
,fcaf4aac737e53ad24b9f32f08b8740f,Computer or Data Processing Systems Consultant,computer or data processing systems consultant,0148f61d4227497728ce33490843d056
,3833bd699e7afe4665b595f282da0387,Database Development and Administration Project Manager,database development and administration project manager,bb4e5066e69e4228172b4850d2a920f4
,19e384e977796c25780d8c28b12089c4,"Naval Tactical Data System--Combat Information Center Watch Officer, General",naval tactical data systemcombat information center watch officer general,e7fdd7f57854ea7d06958a8b65ce0148
,474b962c13632a04e42a546be4f11dbb,Data Coder Operator,data coder operator,bf88358c56bb6cbe7eabec38ae333d19
,dac2e921c1f887d9efc4c06fa33c1397,Automatic Data Processing Customer Liaison (ADP Customer Liaison),automatic data processing customer liaison adp customer liaison,9c4fa3af527c538e345640a28f2d0586
,996da29c84f5eed00da40c230f4c4078,Data Entry Representative,data entry representative,bf88358c56bb6cbe7eabec38ae333d19
,cc2b26cc436bea36bda3bdd7367c411a,Data Processing Auditor,data processing auditor,30ab203f437e940183274ac15379aa99
,25fe195cbf915c0824fa6c44e6d0008c,Maintenance Data Analyst,maintenance data analyst,9b44dbc6767274d8b3a820e133803d00
,76385cb24e831b3364279b9de5641d8f,Automatic Data Processing Systems Security Specialist (ADP Systems Security),automatic data processing systems security specialist adp systems security,7ef30a5b2e0ec04db4ad4d5b1d354c32
,16b67d7f57698455aefbc1ae1b358b50,Database Engineer,database engineer,596226d5f9ef63de41a852826d483d19
,b24ece3300d2f8ab34f9553e531183d6,Data Processing Systems Project Planner,data processing systems project planner,0148f61d4227497728ce33490843d056
,5db2c8d6539f983e1ca3d7c5b939e190,Database Administration Associate,database administration associate,b90ca4df5690002377a7b0f1f3d40781
,36675c937946c8a4fc5de7d0b4c850de,Data Warehousing Engineer,data warehousing engineer,72ac7ec4ef0212a3aa54ed92abac8a92
,847165cfda6b1dc82ae22b967da8af2f,Data Warehouse Developer,data warehouse developer,72ac7ec4ef0212a3aa54ed92abac8a92
,2ca138b991c50dc6696238e5ad800142,Database Software Technician,database software technician,b90ca4df5690002377a7b0f1f3d40781
,775190277a849cba701b306a7b374c0a,Data Officer,data officer,596226d5f9ef63de41a852826d483d19
,022d0e3a40aa3e29bca6851542b27842,Data Keyer,data keyer,bf88358c56bb6cbe7eabec38ae333d19
