question_bbi_2016wave4_basicincome_vote,question_bbi_2016wave4_basicincome_argumentsfor,question_bbi_2016wave4_basicincome_argumentsagainst
I would not vote,None of the above,None of the above
I would probably vote for it,It increases appreciation for household work and volunteering | It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,It might encourage people to stop working
I would not vote,It creates more equality of opportunity,Foreigners might come to my country and take advantage of the benefit
I would probably vote for it,It reduces anxiety about financing basic needs,None of the above
I would probably vote for it,It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working | It increases dependence on the state
I would vote against it,It encourages financial independence and self-responsibility | It reduces anxiety about financing basic needs,It is impossible to finance | It might encourage people to stop working | It is against the principle of linking merit and reward
I would probably vote for it,It reduces anxiety about financing basic needs,Foreigners might come to my country and take advantage of the benefit | It might encourage people to stop working | It increases dependence on the state
I would probably vote for it,It increases appreciation for household work and volunteering | It reduces anxiety about financing basic needs,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance | Only the people who need it most should get something from the state
I would probably vote for it,It creates more equality of opportunity | It reduces anxiety about financing basic needs | It reduces bureaucracy and administrative expenses,Foreigners might come to my country and take advantage of the benefit | It is impossible to finance
I would vote for it,"It increases solidarity, because it is funded by everyone",Foreigners might come to my country and take advantage of the benefit
I would probably vote for it,It reduces anxiety about financing basic needs,It is against the principle of linking merit and reward | It might encourage people to stop working | It increases dependence on the state
I would probably vote for it,It increases appreciation for household work and volunteering,Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state | It might encourage people to stop working
I would probably vote for it,It reduces anxiety about financing basic needs | It creates more equality of opportunity | It encourages financial independence and self-responsibility | It increases appreciation for household work and volunteering,It might encourage people to stop working | It increases dependence on the state | Foreigners might come to my country and take advantage of the benefit | It is impossible to finance
I would vote for it,It creates more equality of opportunity,It might encourage people to stop working | Foreigners might come to my country and take advantage of the benefit
I would probably vote for it,It reduces anxiety about financing basic needs,It might encourage people to stop working | It is impossible to finance | Foreigners might come to my country and take advantage of the benefit | Only the people who need it most should get something from the state
I would probably vote for it,It reduces anxiety about financing basic needs,It might encourage people to stop working
