Country,Job Title,Age Group,Quantity,Percentage
Great Britain,Unemployed,50-69,273,2.83%
France,Unemployed,50-69,235,2.44%
Germany,Unemployed,50-69,230,2.38%
Germany,Unemployed,18-29,219,2.27%
Spain,Unemployed,50-69,197,2.04%
Italy,Unemployed,50-69,181,1.88%
France,Unemployed,18-29,170,1.76%
Great Britain,Unemployed,18-29,161,1.67%
Germany,Unemployed,30-49,160,1.66%
Italy,Unemployed,18-29,141,1.46%
Poland,Unemployed,50-69,139,1.44%
France,Unemployed,30-49,130,1.35%
Spain,Unemployed,18-29,128,1.33%
Great Britain,Unemployed,30-49,124,1.29%
Italy,Unemployed,30-49,124,1.29%
Poland,Unemployed,18-29,115,1.19%
Spain,Unemployed,30-49,98,1.02%
Netherlands,Unemployed,50-69,79,0.82%
Poland,Unemployed,30-49,70,0.73%
Netherlands,Unemployed,18-29,52,0.54%
Hungary,Unemployed,50-69,40,0.41%
Romania,Unemployed,18-29,37,0.38%
Netherlands,Unemployed,30-49,36,0.37%
Greece,Unemployed,50-69,36,0.37%
Sweden,Unemployed,18-29,35,0.36%
Belgium,Unemployed,18-29,30,0.31%
Belgium,Unemployed,50-69,29,0.3%
Greece,Unemployed,18-29,29,0.3%
Romania,Unemployed,50-69,28,0.29%
Austria,Unemployed,30-49,26,0.27%
Sweden,Unemployed,50-69,26,0.27%
Portugal,Unemployed,50-69,25,0.26%
Greece,Unemployed,30-49,25,0.26%
Hungary,Unemployed,18-29,23,0.24%
Austria,Unemployed,18-29,22,0.23%
Czechia,Unemployed,18-29,22,0.23%
Bulgaria,Unemployed,50-69,21,0.22%
Romania,Unemployed,30-49,21,0.22%
Ireland,Unemployed,50-69,20,0.21%
Czechia,Unemployed,50-69,20,0.21%
Denmark,Unemployed,50-69,20,0.21%
Sweden,Unemployed,30-49,20,0.21%
Finland,Unemployed,50-69,19,0.2%
Portugal,Unemployed,18-29,18,0.19%
Czechia,Unemployed,30-49,17,0.18%
Belgium,Unemployed,30-49,17,0.18%
Croatia,Unemployed,18-29,16,0.17%
Denmark,Unemployed,18-29,16,0.17%
Bulgaria,Unemployed,30-49,15,0.16%
Slovakia,Unemployed,18-29,15,0.16%
Portugal,Unemployed,30-49,15,0.16%
Ireland,Unemployed,18-29,14,0.15%
Denmark,Unemployed,30-49,12,0.12%
Finland,Unemployed,18-29,12,0.12%
Austria,Unemployed,50-69,11,0.11%
Germany,Database Engineer,50-69,11,0.11%
Croatia,Unemployed,50-69,11,0.11%
Croatia,Unemployed,30-49,11,0.11%
France,Data Management Associate,50-69,10,0.1%
France,Data Officer,50-69,10,0.1%
France,Computer or Data Processing Systems Consultant,50-69,10,0.1%
Hungary,Unemployed,30-49,10,0.1%
Italy,Database Consultant,50-69,10,0.1%
Great Britain,Data Processing Systems Analyst,50-69,10,0.1%
Great Britain,Database Manager,50-69,10,0.1%
Lithuania,Unemployed,18-29,10,0.1%
Italy,Data Processing Auditor,50-69,10,0.1%
Great Britain,Data Warehouse Architect,50-69,10,0.1%
Italy,Data Modeling Specialist,50-69,9,0.09%
Poland,Data Communications Analyst,50-69,9,0.09%
Italy,Data Warehouse Architect,50-69,9,0.09%
Spain,Automatic Data Processing Planner (ADP Planner),50-69,9,0.09%
France,Database Coordinator,50-69,9,0.09%
Bulgaria,Unemployed,18-29,9,0.09%
Italy,Data Architect,50-69,9,0.09%
Italy,Data Scientist,30-49,9,0.09%
Slovakia,Unemployed,50-69,9,0.09%
Great Britain,Database Tester,50-69,9,0.09%
Germany,Database Administration Manager,30-49,9,0.09%
Germany,Data Officer,50-69,9,0.09%
France,Database Modeler,50-69,9,0.09%
Germany,Data Storage Specialist,50-69,9,0.09%
Germany,Oracle Database Administrator (Oracle DBA),50-69,9,0.09%
Italy,Data Warehousing Specialist,50-69,8,0.08%
Spain,Data Warehouse Architect,50-69,8,0.08%
France,Database Software Technician,50-69,8,0.08%
France,Data Processing Manager,50-69,8,0.08%
France,Data Security Administrator,50-69,8,0.08%
France,Database Marketing Analyst,50-69,8,0.08%
Spain,Geographic Information Systems Database Administrator (GIS Database Administrator),50-69,8,0.08%
Germany,Geographic Information Systems Data Specialist (GIS Data Specialist),50-69,8,0.08%
Ireland,Unemployed,30-49,8,0.08%
Great Britain,Automatic Data Processing Planner,50-69,8,0.08%
Great Britain,Database Modeler,50-69,8,0.08%
Germany,Data Architect,50-69,8,0.08%
Italy,Database Security Administrator,50-69,8,0.08%
Spain,Database Manager,50-69,8,0.08%
Germany,Database Administration Associate,50-69,8,0.08%
Italy,Database Architect,50-69,8,0.08%
Spain,Database Management System Specialist (DBMS Specialist),50-69,8,0.08%
Italy,Data Management Information Technology Specialist,50-69,8,0.08%
France,Data Warehousing Manager,50-69,8,0.08%
Germany,Data Warehouse Architect,50-69,8,0.08%
France,Automatic Data Processing Systems Security Specialist (ADP Systems Security),50-69,8,0.08%
France,Data Architect,50-69,8,0.08%
Great Britain,Data Communications Software Consultant,50-69,8,0.08%
Spain,Data Systems Manager,50-69,8,0.08%
Germany,Database Management System Specialist (DBMS Specialist),50-69,8,0.08%
Spain,SQL Database Administrator,50-69,8,0.08%
France,Database Development and Administration Project Manager,50-69,7,0.07%
Great Britain,Head of Information Systems and Data Processing,50-69,7,0.07%
Germany,Data Warehouse Analyst,50-69,7,0.07%
Spain,Data Management Associate,50-69,7,0.07%
Germany,Data Processing Systems Project Planner,50-69,7,0.07%
Italy,Internet Database Specialist,50-69,7,0.07%
Great Britain,Geographic Information Systems Data Specialist (GIS Data Specialist),50-69,7,0.07%
Great Britain,Data Systems Manager,50-69,7,0.07%
Germany,Data Modeling Specialist,50-69,7,0.07%
France,Geographic Information Systems Data Administrator (GIS Data Administrator),50-69,7,0.07%
France,Internet Database Specialist,50-69,7,0.07%
Germany,Data Coordinator,50-69,7,0.07%
Great Britain,Database Administration Associate,50-69,7,0.07%
Germany,Data Warehouse Developer,50-69,7,0.07%
Italy,Geographic Information Systems Database Administrator (GIS Database Administrator),50-69,7,0.07%
Great Britain,Data Administrator,50-69,7,0.07%
Spain,Data Security Administrator,50-69,7,0.07%
Italy,Automatic Data Processing Systems Security Specialist (ADP Systems Security),50-69,7,0.07%
France,Data Miner,50-69,7,0.07%
Italy,Data Base Design Analyst,50-69,7,0.07%
Germany,Geographic Information Systems Data Manager (GIS Data Manager),50-69,7,0.07%
Spain,Data Security Analyst,50-69,7,0.07%
Italy,Data Officer,50-69,7,0.07%
France,Automatic Data Processing Customer Liaison (ADP Customer Liaison),50-69,7,0.07%
Poland,Automatic Data Processing Customer Liaison (ADP Customer Liaison),30-49,7,0.07%
Finland,Unemployed,30-49,7,0.07%
Italy,Data Storage Specialist,50-69,7,0.07%
Italy,Data Systems Manager,50-69,7,0.07%
Germany,Electronic Data Interchange System Developer (EDI System Developer),50-69,7,0.07%
Germany,Database Modeler,50-69,7,0.07%
Italy,Data Warehousing Manager,50-69,7,0.07%
Italy,Automatic Data Processing Planner (ADP Planner),50-69,7,0.07%
France,Data Modeling Specialist,50-69,7,0.07%
France,Database Administration Associate,50-69,7,0.07%
Italy,Database Development and Administration Project Manager,50-69,7,0.07%
Slovenia,Unemployed,18-29,7,0.07%
Germany,Oracle Database Administrator (Oracle DBA),30-49,7,0.07%
France,Database Consultant,30-49,7,0.07%
France,Data Warehouse Architect,50-69,7,0.07%
Great Britain,Automatic Data Processing Systems Security Specialist (ADP Systems Security),50-69,7,0.07%
France,Data Security Analyst,50-69,7,0.07%
Germany,Database Consultant,50-69,7,0.07%
Spain,Data Processing Manager,50-69,7,0.07%
Italy,Database Management System Specialist (DBMS Specialist),50-69,7,0.07%
Germany,Database Development and Administration Project Manager,30-49,6,0.06%
Great Britain,Database Designer,50-69,6,0.06%
Spain,Data Processing Systems Project Planner,50-69,6,0.06%
Great Britain,Computer or Data Processing Systems Consultant,50-69,6,0.06%
Germany,Data Communications Analyst,50-69,6,0.06%
Spain,Data Modeling Specialist,50-69,6,0.06%
Germany,Data Administrator,50-69,6,0.06%
Germany,Data Administrator,30-49,6,0.06%
Germany,Computer or Data Processing Systems Consultant,50-69,6,0.06%
Spain,Data Coordinator,50-69,6,0.06%
Spain,Data Processing Systems Analyst,50-69,6,0.06%
Germany,Data Systems Manager,30-49,6,0.06%
Germany,"Engineer, System Electronic Data Processing (Engineer, System EDP)",50-69,6,0.06%
Germany,Database Development and Administration Project Manager,50-69,6,0.06%
Spain,Database Engineer,30-49,6,0.06%
Germany,Geographic Information Systems Data Administrator (GIS Data Administrator),50-69,6,0.06%
Spain,Database Development and Administration Project Manager,30-49,6,0.06%
Italy,"Engineer, System Electronic Data Processing (Engineer, System EDP)",50-69,6,0.06%
Germany,Data Storage Specialist,30-49,6,0.06%
Germany,Data Warehouse Specialist,30-49,6,0.06%
Spain,Database Coordinator,50-69,6,0.06%
Spain,Database Coordinator,30-49,6,0.06%
Germany,Head of Information Systems and Data Processing,50-69,6,0.06%
Great Britain,Data Processing Manager,50-69,6,0.06%
Spain,Database Architect,50-69,6,0.06%
Great Britain,Database Design Analyst,50-69,6,0.06%
Italy,Database Administration Manager,50-69,6,0.06%
France,Electronic Data Interchange System Developer (EDI System Developer),50-69,6,0.06%
Italy,Database Tester,50-69,6,0.06%
Italy,Data Administrator,50-69,6,0.06%
Spain,Geographic Information Systems Data Manager (GIS Data Manager),50-69,6,0.06%
Italy,Automatic Data Processing Customer Liaison (ADP Customer Liaison),50-69,6,0.06%
Italy,Database Designer,50-69,6,0.06%
France,Database Security Expert,50-69,6,0.06%
France,Database Security Administrator,50-69,6,0.06%
Italy,Database Security Expert,50-69,6,0.06%
Poland,Automatic Data Processing Systems Security Specialist (ADP Systems Security),50-69,6,0.06%
Spain,Head of Information Systems and Data Processing,50-69,6,0.06%
Poland,Data Architect,30-49,6,0.06%
Poland,Database Software Technician,50-69,6,0.06%
Latvia,Unemployed,30-49,6,0.06%
Germany,Automatic Data Processing Planner (ADP Planner),50-69,6,0.06%
France,Data Processing Systems Analyst,50-69,6,0.06%
Poland,Database Development and Administration Project Manager,50-69,6,0.06%
Poland,Database Development and Administration Project Manager,30-49,6,0.06%
Spain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),50-69,6,0.06%
France,Database Designer,50-69,6,0.06%
France,Database Consultant,50-69,6,0.06%
Poland,Data Coordinator,50-69,6,0.06%
Italy,Database Manager,50-69,6,0.06%
France,Database Architect,50-69,6,0.06%
Italy,Database Modeler,50-69,6,0.06%
Poland,Data Warehouse Analyst,50-69,6,0.06%
France,Data Storage Specialist,50-69,6,0.06%
France,Database Tester,50-69,6,0.06%
Italy,Director of Data Operations,50-69,6,0.06%
France,Data Warehouse Analyst,50-69,6,0.06%
Italy,Data Warehouse Analyst,50-69,6,0.06%
Italy,Data Officer,30-49,6,0.06%
Lithuania,Unemployed,50-69,6,0.06%
France,Head of Information Systems and Data Processing,50-69,6,0.06%
Romania,Data Officer,50-69,6,0.06%
Italy,Data Miner,50-69,6,0.06%
Italy,Data Warehousing Engineer,50-69,6,0.06%
Italy,Database Architect,30-49,6,0.06%
Italy,Data Miner,30-49,6,0.06%
Great Britain,Database Security Expert,50-69,6,0.06%
Poland,Geographic Information Systems Database Administrator (GIS Database Administrator),50-69,6,0.06%
France,Automatic Data Processing Planner,50-69,6,0.06%
Great Britain,Database Security Administrator,50-69,6,0.06%
Italy,Data Warehousing Manager,30-49,6,0.06%
France,Director of Data Operations,50-69,6,0.06%
France,Director of Data Operations,30-49,6,0.06%
Great Britain,Geographic Information Systems Database Administrator (GIS Database Administrator),50-69,6,0.06%
Great Britain,Database Management System Specialist (DBMS Specialist),50-69,6,0.06%
Germany,Automatic Data Processing Planner,30-49,6,0.06%
Italy,SQL Database Administrator,50-69,6,0.06%
Germany,Database Security Expert,50-69,5,0.05%
France,Data Communications Analyst,50-69,5,0.05%
Lithuania,Unemployed,30-49,5,0.05%
France,Data Processing Systems Project Planner,50-69,5,0.05%
Germany,Database Marketing Analyst,50-69,5,0.05%
Germany,Database Management System Specialist (DBMS Specialist),30-49,5,0.05%
France,Data Processing Auditor,50-69,5,0.05%
Slovakia,Unemployed,30-49,5,0.05%
France,Automatic Data Processing Planner (ADP Planner),50-69,5,0.05%
France,Data Base Design Analyst,30-49,5,0.05%
Germany,Database Manager,30-49,5,0.05%
Germany,Database Architect,50-69,5,0.05%
Germany,Database Manager,50-69,5,0.05%
Germany,Automatic Data Processing Planner (ADP Planner),30-49,5,0.05%
Germany,Database Administration Manager,50-69,5,0.05%
France,Data Warehouse Specialist,50-69,5,0.05%
Spain,Data Architect,50-69,5,0.05%
Germany,Data Base Design Analyst,50-69,5,0.05%
Spain,Data Communications Software Consultant,30-49,5,0.05%
Spain,Data Communications Software Consultant,50-69,5,0.05%
France,Oracle Database Administrator (Oracle DBA),50-69,5,0.05%
Germany,Data Communications Analyst,30-49,5,0.05%
Germany,Data Communications Software Consultant,30-49,5,0.05%
France,Oracle Database Administrator (Oracle DBA),30-49,5,0.05%
Germany,Data Management Information Technology Specialist,50-69,5,0.05%
Germany,Data Miner,50-69,5,0.05%
France,"Engineer, System Electronic Data Processing (Engineer, System EDP)",50-69,5,0.05%
Spain,Computer or Data Processing Systems Consultant,50-69,5,0.05%
France,Electronic Data Processing Auditor (EDP Auditor),50-69,5,0.05%
Germany,Database Specialist,50-69,5,0.05%
Germany,Data Officer,30-49,5,0.05%
Germany,Data Processing Consultant,30-49,5,0.05%
Germany,Data Processing Consultant,50-69,5,0.05%
France,Database Tester,30-49,5,0.05%
France,Database Specialist,50-69,5,0.05%
France,Database Software Technician,30-49,5,0.05%
Germany,Data Processing Manager,50-69,5,0.05%
Germany,Data Scientist,50-69,5,0.05%
Germany,Data Security Administrator,30-49,5,0.05%
Germany,Data Security Analyst,30-49,5,0.05%
Spain,Automatic Data Processing Systems Security Specialist (ADP Systems Security),50-69,5,0.05%
France,Database Manager,30-49,5,0.05%
France,Database Engineer,50-69,5,0.05%
Germany,Data Warehousing Engineer,50-69,5,0.05%
Germany,Data Warehousing Specialist,50-69,5,0.05%
Latvia,Unemployed,18-29,5,0.05%
Spain,Data Warehouse Analyst,30-49,5,0.05%
Great Britain,Data Architect,50-69,5,0.05%
Poland,Data Storage Specialist,50-69,5,0.05%
Great Britain,Database Coordinator,50-69,5,0.05%
Great Britain,Database Consultant,50-69,5,0.05%
Great Britain,Database Consultant,30-49,5,0.05%
Great Britain,Database Architect,50-69,5,0.05%
Poland,Data Security Analyst,50-69,5,0.05%
Spain,Database Security Expert,50-69,5,0.05%
Poland,SQL Database Administrator,50-69,5,0.05%
Great Britain,Data Warehousing Specialist,50-69,5,0.05%
Great Britain,Data Warehouse Specialist,50-69,5,0.05%
Poland,Data Miner,50-69,5,0.05%
Spain,Database Marketing Analyst,30-49,5,0.05%
Spain,Database Management System Specialist (DBMS Specialist),30-49,5,0.05%
Spain,Database Engineer,50-69,5,0.05%
Italy,Electronic Data Processing Auditor (EDP Auditor),50-69,5,0.05%
Spain,Database Designer,50-69,5,0.05%
Great Britain,Data Security Analyst,50-69,5,0.05%
Great Britain,Data Processing Consultant,50-69,5,0.05%
Great Britain,Data Processing Auditor,50-69,5,0.05%
Great Britain,Data Officer,50-69,5,0.05%
Poland,Data Storage Specialist,30-49,5,0.05%
Italy,Database Marketing Analyst,50-69,5,0.05%
Great Britain,Data Modeling Specialist,30-49,5,0.05%
Poland,Data Warehouse Developer,50-69,5,0.05%
Poland,Database Security Expert,50-69,5,0.05%
Poland,Database Security Administrator,30-49,5,0.05%
Italy,Database Software Technician,50-69,5,0.05%
Poland,Electronic Data Processing Auditor (EDP Auditor),30-49,5,0.05%
Great Britain,Oracle Database Administrator (Oracle DBA),50-69,5,0.05%
Spain,Geographic Information Systems Data Administrator (GIS Data Administrator),50-69,5,0.05%
Poland,Database Designer,50-69,5,0.05%
Poland,Database Design Analyst,50-69,5,0.05%
Poland,Database Design Analyst,30-49,5,0.05%
Poland,Geographic Information Systems Data Specialist (GIS Data Specialist),30-49,5,0.05%
Poland,Geographic Information Systems Data Specialist (GIS Data Specialist),50-69,5,0.05%
Poland,Geographic Information Systems Database Administrator (GIS Database Administrator),30-49,5,0.05%
Great Britain,"Engineer, System Electronic Data Processing (Engineer, System EDP)",50-69,5,0.05%
Germany,Database Tester,50-69,5,0.05%
Great Britain,Database Tester,30-49,5,0.05%
Poland,Data Warehousing Manager,30-49,5,0.05%
Spain,Electronic Data Interchange System Developer (EDI System Developer),30-49,5,0.05%
Poland,Data Warehouse Specialist,30-49,5,0.05%
Spain,Director of Data Operations,30-49,5,0.05%
Great Britain,Data Modeling Specialist,50-69,5,0.05%
Poland,Computer or Data Processing Systems Consultant,30-49,5,0.05%
Italy,Database Design Analyst,30-49,5,0.05%
Italy,Data Processing Systems Project Planner,50-69,5,0.05%
Italy,Data Communications Analyst,50-69,5,0.05%
Great Britain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),50-69,5,0.05%
Great Britain,Automatic Data Processing Customer Liaison (ADP Customer Liaison),30-49,5,0.05%
Italy,Automatic Data Processing Planner,50-69,5,0.05%
Italy,Data Management Associate,50-69,5,0.05%
Italy,Data Processing Systems Analyst,30-49,5,0.05%
Germany,Internet Database Specialist,50-69,5,0.05%
Spain,Database Administration Manager,50-69,5,0.05%
Germany,Geographic Information Systems Database Administrator (GIS Database Administrator),50-69,5,0.05%
Germany,Geographic Information Systems Database Administrator (GIS Database Administrator),30-49,5,0.05%
Germany,Electronic Data Processing Auditor (EDP Auditor),30-49,5,0.05%
Germany,Director of Data Operations,50-69,5,0.05%
Germany,Databases Software Consultant,50-69,5,0.05%
Germany,Databases Computer Consultant,30-49,5,0.05%
Great Britain,Computer or Data Processing Systems Consultant,30-49,5,0.05%
Italy,Data Coordinator,50-69,5,0.05%
Poland,Director of Data Operations,50-69,5,0.05%
Great Britain,Data Coordinator,50-69,5,0.05%
France,Data Modeling Specialist,30-49,4,0.04%
Italy,Data Warehouse Architect,30-49,4,0.04%
Poland,Database Administration Manager,30-49,4,0.04%
France,Data Management Associate,30-49,4,0.04%
Poland,Database Coordinator,50-69,4,0.04%
France,Database Coordinator,30-49,4,0.04%
France,Automatic Data Processing Customer Liaison (ADP Customer Liaison),30-49,4,0.04%
Poland,Automatic Data Processing Planner (ADP Planner),50-69,4,0.04%
Italy,Computer or Data Processing Systems Consultant,30-49,4,0.04%
Netherlands,Data Warehousing Engineer,50-69,4,0.04%
Italy,Data Security Analyst,50-69,4,0.04%
France,Data Officer,30-49,4,0.04%
Poland,Database Security Administrator,50-69,4,0.04%
Italy,Data Administrator,30-49,4,0.04%
Italy,Data Warehouse Developer,50-69,4,0.04%
France,Database Management System Specialist (DBMS Specialist),50-69,4,0.04%
Poland,Automatic Data Processing Customer Liaison (ADP Customer Liaison),50-69,4,0.04%
Italy,Database Coordinator,50-69,4,0.04%
Poland,Database Marketing Analyst,30-49,4,0.04%
